COUNTY_ID,COUNTY,TOWN_ID,TOWN,E1314_CNT,E1112_CNT,E2122_CNT,E3_4_5_CNT,E6_7_CNT,E8_9_CNT,E1_2_CNT,E03_CNT,E04_CNT,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,博士人口數,碩士人口數,大學院校人口數,專科人口數,高中職人口數,國中初職人口數,小學人口數,自修人口數,不識字人口數,資料時間
"10002","宜蘭縣","10002040","頭城鎮",61,926,5180,2657,6666,6275,3072,341,399,"110Y"
"10002","宜蘭縣","10002050","礁溪鄉",127,1519,7188,3658,8318,5812,4319,108,525,"110Y"
"10002","宜蘭縣","10002060","壯圍鄉",67,930,4751,2370,5899,4501,3198,63,600,"110Y"
"10002","宜蘭縣","10002070","員山鄉",89,1297,6323,3146,7615,5853,3747,433,684,"110Y"
"10002","宜蘭縣","10002080","冬山鄉",150,2406,11334,5601,12993,7854,5766,407,530,"110Y"
"10002","宜蘭縣","10002090","五結鄉",139,1921,8867,4311,10188,6110,4665,129,207,"110Y"
"10002","宜蘭縣","10002100","三星鄉",70,749,3934,2200,5709,3875,2648,152,248,"110Y"
"10002","宜蘭縣","10002110","大同鄉",5,85,624,537,1833,1529,464,15,10,"110Y"
"10002","宜蘭縣","10002120","南澳鄉",4,88,740,486,1954,964,609,2,4,"110Y"
"10004","新竹縣","10004010","竹北市",2896,29193,58259,16253,34217,9305,8610,255,652,"110Y"
"10004","新竹縣","10004020","竹東鎮",683,6875,25491,9578,25042,8080,7332,111,243,"110Y"
"10004","新竹縣","10004030","新埔鎮",112,1726,8343,3099,9415,3409,3705,109,86,"110Y"
"10004","新竹縣","10004040","關西鎮",67,997,5920,2553,8365,3183,3532,51,56,"110Y"
"10004","新竹縣","10004050","湖口鄉",177,3446,20779,7694,22946,7196,5876,161,326,"110Y"
"10004","新竹縣","10004060","新豐鄉",148,2879,15367,5108,15360,5357,4190,336,300,"110Y"
"10004","新竹縣","10004070","芎林鄉",130,1270,5222,2102,5294,1954,2020,29,113,"110Y"
"10004","新竹縣","10004080","橫山鄉",23,393,2502,1095,3803,1571,1811,8,32,"110Y"
"10004","新竹縣","10004090","北埔鄉",23,261,1860,827,2628,1123,1174,37,124,"110Y"
"10004","新竹縣","10004100","寶山鄉",251,1330,3795,1202,3637,1665,1330,60,64,"110Y"
"10004","新竹縣","10004110","峨眉鄉",9,140,999,501,1623,845,766,16,48,"110Y"
"10004","新竹縣","10004120","尖石鄉",8,133,1220,643,2956,1815,991,1,12,"110Y"
"10004","新竹縣","10004130","五峰鄉",6,47,453,290,1506,989,595,2,7,"110Y"
"10005","苗栗縣","10005010","苗栗市",371,5110,22922,9332,24417,7167,6706,221,116,"110Y"
"10005","苗栗縣","10005020","苑裡鎮",91,1589,8770,3334,12555,6994,6212,128,161,"110Y"
"10005","苗栗縣","10005030","通霄鎮",66,1041,6171,2421,9008,5153,5145,260,321,"110Y"
"10005","苗栗縣","10005040","竹南鎮",417,5506,22626,7729,21959,8218,6283,91,606,"110Y"
"10005","苗栗縣","10005050","頭份市",450,5933,26574,10252,28635,9932,7449,46,277,"110Y"
"10005","苗栗縣","10005060","後龍鎮",71,1164,7041,2724,9458,5384,4958,126,164,"110Y"
"10005","苗栗縣","10005070","卓蘭鎮",35,530,2947,1124,4918,2381,2422,32,96,"110Y"
"10005","苗栗縣","10005080","大湖鄉",27,362,2446,1038,4582,1980,1834,86,39,"110Y"
"10005","苗栗縣","10005090","公館鄉",83,1321,7433,3141,9936,3443,2989,52,50,"110Y"
"10005","苗栗縣","10005100","銅鑼鄉",32,572,3551,1554,5639,1939,1790,38,125,"110Y"
"10005","苗栗縣","10005110","南庄鄉",21,191,1428,744,2944,1788,1396,9,29,"110Y"
"10005","苗栗縣","10005120","頭屋鄉",17,311,2094,909,3271,1239,1320,25,41,"110Y"
"10005","苗栗縣","10005130","三義鄉",38,533,3254,1359,4818,1884,1760,57,80,"110Y"
"10005","苗栗縣","10005140","西湖鄉",14,187,1251,544,2139,971,988,15,78,"110Y"
"10005","苗栗縣","10005150","造橋鄉",24,354,2661,1022,3805,1573,1421,22,43,"110Y"
"10005","苗栗縣","10005160","三灣鄉",10,158,1245,500,1891,891,958,7,18,"110Y"
"10005","苗栗縣","10005170","獅潭鄉",9,92,592,302,1557,512,714,44,47,"110Y"
"10005","苗栗縣","10005180","泰安鄉",9,118,722,422,2008,1130,667,8,17,"110Y"
